-92,-272
-40,-254
-8,-243
-210,-245
-301,-351
-50,-305
-162,-259
-150,-153
-174,-249
-189,-246
-3,-58
-57,-65
-142,-325
-257,-349
-283,-341
-77,-297
-114,-336
-72,-132
-175,-292
-5,-298
-63,-242
-198,-308
-113,-230
-16,-128
-304,1
-104,-317
-67,-148
-220,2
-222,-293
-172,-177
-49,-203
-46,-250
-4,-85
-12,-151
-163,-338
-125,-212
-158,-206
-134,-170
-232,5
-213,-223
-108,-185
-107,-131
-335,-344
-30,-312
-41,-54
-69,-350
-218,-326
-124,-357
-2,-273
-296,-299
-111,-123
-137,-190
-343,7
-161,-300
-143,-216
-42,-68
-180,-322
-51,-291
-240,-356
-256,-315
-209,-285
-35,-288
-25,35
-61,-303
-103,-309
-98,-219
-116,-181
-11,-20
-19,-306
-202,11
-199,32
-165,-321
-13,-314
-60,-311
-55,-239
-166,-352
-106,-271
-144,-264
-171,19
-27,-265
-1,-215
-44,-274
-169,-255
-133,-358
-159,-354
-37,-118
-36,-52
-140,-155
-278,-316
-34,9
-127,-280
-48,-227
-95,-138
-234,-260
-29,-214
-97,-295
-117,-157
-282,69
-146,-205
-31,-269
-201,-310
-74,-191
-33,-192
-18,-233
-307,-328
43,65
-56,-355
-22,-178
-66,-90
-93,-145
-237,33
-6,-167
-182,-195
-164,-332
-197,-319
-263,24
-258,-324
-323,93
-99,-224
-236,80
-130,-200
-87,83
-342,34
-70,62
-286,-320
-79,104
51,58
-235,-329
-126,36
-86,-156
-221,59
-7,-91
-59,-122
-26,-53
-244,92
-38,-45
-47,-186
-62,-252
-73,-217
-24,-43
-39,-359
68,101
-28,-348
-17,-228
-226,13
-294,94
-81,-251
-173,108
-76,26
-110,-313
-15,-345
-147,-229
-9,129
-204,105
-101,86
-109,15
-121,-184
-89,-337
-78,-187
-64,-188
-10,-141
-360,28
-330,64
-268,-276
-136,60
-333,82
-248,-334
-207,127
-211,41
-194,39
-80,-105
-84,-331
-270,113
-119,30
-14,22
-241,75
-94,76
-135,88
-302,71
-120,-346
4,122
20,111
-339,123
44,96
-160,-290
-154,-262
-88,-287
-32,-275
-82,136
-353,16
89,141
-318,77
-102,-225
-100,130
63,159
-347,132
14,42
-168,10
-129,-231
-267,12
-176,107
23,91
-115,81
-247,142
79,131
49,143
-277,145
57,154
-96,17
-83,56
38,151
-152,48
27,148
47,137
8,189
-261,121
72,112
-253,52
-139,134
158,165
100,197
-112,173
-327,114
-281,119
-196,138
6,128
67,106
109,139
-21,125
53,193
74,223
3,18
25,152
-71,124
37,192
-289,99
-183,45
-23,-238
46,97
61,73
169,182
29,102
55,115
162,178
-193,144
171,179
-284,194
40,90
110,168
-340,117
-75,224
147,175
-208,198
87,116
149,190
21,170
140,226
186,187
150,231
164,217
176,185
-279,203
78,191
161,172
155,177
-266,95
160,235
120,202
153,156
31,249
54,188
228,248
50,205
103,215
66,118
-149,257
135,241
174,229
84,218
184,240
85,183
199,210
133,270
126,261
196,250
-179,246
227,238
146,220
157,221
209,219
98,263
206,262
208,230
163,251
222,264
212,225
214,232
181,239
244,275
233,273
234,290
267,280
211,254
204,253
256,297
201,237
260,281
207,243
195,277
278,289
268,308
298,304
259,279
236,295
180,258
271,309
166,287
255,294
167,247
288,301
265,299
269,310
216,292
70,316
200,291
213,313
242,283
296,302
303,315
276,293
274,285
272,284
252,300
282,305
314,323
317,332
306,328
311,319
245,312
318,326
321,333
324,334
286,337
307,339
322,327
266,338
330,345
325,341
320,340
329,343
335,344
331,342
336,349
346,348
347,351
350,352
353,355
354,356
357,358
